Group 1
+--------------------------------------------------------------------------------------------+------------------------------+
|                                           Smile                                            |            Masses            |
+--------------------------------------------------------------------------------------------+------------------------------+
|                              C#CC1(CCCCC1)NC(=O)Nc2ccc(cc2)Cl                              |  ('M', 16.031300127999998)   |
|                              C#CC1(CCCCC1)NC(=O)Nc2ccc(cc2)Cl                              |    ('M+H', 17.038576128)     |
|                              C#CC1(CCCCC1)NC(=O)Nc2ccc(cc2)Cl                              |    ('M+Na', 39.020518128)    |
|                              C#CC1(CCCCC1)NC(=O)Nc2ccc(cc2)Cl                              |    ('M+K', 54.994458128)     |
|                              C#CC1(CCCCC1)NC(=O)Nc2ccc(cc2)Cl                              |   ('M+NH4', 34.065123128)    |
|                              C#CC1(CCCCC1)NC(=O)Nc2ccc(cc2)Cl                              | ('M-H', 15.024024127999995)  |
|                              C#CC1(CCCCC1)NC(=O)Nc2ccc(cc2)Cl                              |    ('M+Br', 94.950185128)    |
|                              C#CC1(CCCCC1)NC(=O)Nc2ccc(cc2)Cl                              |    ('M+Cl', 51.000702128)    |
|                             C(C(C(C(C(C(=O)NCC(=O)O)O)O)O)O)O                              |     ('M', 253.07976644)      |
|                             C(C(C(C(C(C(=O)NCC(=O)O)O)O)O)O)O                              |    ('M+H', 254.08704244)     |
|                             C(C(C(C(C(C(=O)NCC(=O)O)O)O)O)O)O                              |    ('M+Na', 276.06898444)    |
|                             C(C(C(C(C(C(=O)NCC(=O)O)O)O)O)O)O                              | ('M+K', 292.04292444000004)  |
|                             C(C(C(C(C(C(=O)NCC(=O)O)O)O)O)O)O                              |   ('M+NH4', 271.11358944)    |
|                             C(C(C(C(C(C(=O)NCC(=O)O)O)O)O)O)O                              |    ('M-H', 252.07249044)     |
|                             C(C(C(C(C(C(=O)NCC(=O)O)O)O)O)O)O                              |    ('M+Br', 331.99865144)    |
|                             C(C(C(C(C(C(=O)NCC(=O)O)O)O)O)O)O                              |    ('M+Cl', 288.04916844)    |
|                 C/C(=C/1\c2ccc(cc2COc3c1ccc(c3)F)OC)/c4cccc(c4)NS(=O)(=O)C                 |     ('M', 439.125357404)     |
|                 C/C(=C/1\c2ccc(cc2COc3c1ccc(c3)F)OC)/c4cccc(c4)NS(=O)(=O)C                 |    ('M+H', 440.132633404)    |
|                 C/C(=C/1\c2ccc(cc2COc3c1ccc(c3)F)OC)/c4cccc(c4)NS(=O)(=O)C                 |   ('M+Na', 462.114575404)    |
|                 C/C(=C/1\c2ccc(cc2COc3c1ccc(c3)F)OC)/c4cccc(c4)NS(=O)(=O)C                 |    ('M+K', 478.088515404)    |
|                 C/C(=C/1\c2ccc(cc2COc3c1ccc(c3)F)OC)/c4cccc(c4)NS(=O)(=O)C                 |   ('M+NH4', 457.159180404)   |
|                 C/C(=C/1\c2ccc(cc2COc3c1ccc(c3)F)OC)/c4cccc(c4)NS(=O)(=O)C                 |    ('M-H', 438.118081404)    |
|                 C/C(=C/1\c2ccc(cc2COc3c1ccc(c3)F)OC)/c4cccc(c4)NS(=O)(=O)C                 |   ('M+Br', 518.044242404)    |
|                 C/C(=C/1\c2ccc(cc2COc3c1ccc(c3)F)OC)/c4cccc(c4)NS(=O)(=O)C                 |   ('M+Cl', 474.094759404)    |
|                      C/C(=C/Cn1c2c(nc1N3CCCCC3)n(c(=O)n(c2=O)C)C)/Cl                       |  ('M', 351.14620262399995)   |
|                      C/C(=C/Cn1c2c(nc1N3CCCCC3)n(c(=O)n(c2=O)C)C)/Cl                       | ('M+H', 352.15347862399994)  |
|                      C/C(=C/Cn1c2c(nc1N3CCCCC3)n(c(=O)n(c2=O)C)C)/Cl                       |   ('M+Na', 374.135420624)    |
|                      C/C(=C/Cn1c2c(nc1N3CCCCC3)n(c(=O)n(c2=O)C)C)/Cl                       |    ('M+K', 390.109360624)    |
|                      C/C(=C/Cn1c2c(nc1N3CCCCC3)n(c(=O)n(c2=O)C)C)/Cl                       |   ('M+NH4', 369.180025624)   |
|                      C/C(=C/Cn1c2c(nc1N3CCCCC3)n(c(=O)n(c2=O)C)C)/Cl                       |    ('M-H', 350.138926624)    |
|                      C/C(=C/Cn1c2c(nc1N3CCCCC3)n(c(=O)n(c2=O)C)C)/Cl                       |   ('M+Br', 430.065087624)    |
|                      C/C(=C/Cn1c2c(nc1N3CCCCC3)n(c(=O)n(c2=O)C)C)/Cl                       |   ('M+Cl', 386.115604624)    |
|           C1CCCN(CC1)CC(=O)Nc2c3c(nc4c2CCC4)CCCC3.C(=O)(C(=O)O)O.C(=O)(C(=O)O)O            |   ('M', 507.2216796359998)   |
|           C1CCCN(CC1)CC(=O)Nc2c3c(nc4c2CCC4)CCCC3.C(=O)(C(=O)O)O.C(=O)(C(=O)O)O            |  ('M+H', 508.2289556359998)  |
|           C1CCCN(CC1)CC(=O)Nc2c3c(nc4c2CCC4)CCCC3.C(=O)(C(=O)O)O.C(=O)(C(=O)O)O            | ('M+Na', 530.2108976359998)  |
|           C1CCCN(CC1)CC(=O)Nc2c3c(nc4c2CCC4)CCCC3.C(=O)(C(=O)O)O.C(=O)(C(=O)O)O            |  ('M+K', 546.1848376359998)  |
|           C1CCCN(CC1)CC(=O)Nc2c3c(nc4c2CCC4)CCCC3.C(=O)(C(=O)O)O.C(=O)(C(=O)O)O            | ('M+NH4', 525.2555026359998) |
|           C1CCCN(CC1)CC(=O)Nc2c3c(nc4c2CCC4)CCCC3.C(=O)(C(=O)O)O.C(=O)(C(=O)O)O            |  ('M-H', 506.2144036359998)  |
|           C1CCCN(CC1)CC(=O)Nc2c3c(nc4c2CCC4)CCCC3.C(=O)(C(=O)O)O.C(=O)(C(=O)O)O            | ('M+Br', 586.1405646359998)  |
|           C1CCCN(CC1)CC(=O)Nc2c3c(nc4c2CCC4)CCCC3.C(=O)(C(=O)O)O.C(=O)(C(=O)O)O            | ('M+Cl', 542.1910816359998)  |
|                           CC(=O)N(C)c1ccc(cc1)NC(=O)c2cccc(c2)Cl                           |      ('M', 302.0822054)      |
|                           CC(=O)N(C)c1ccc(cc1)NC(=O)c2cccc(c2)Cl                           |     ('M+H', 303.0894814)     |
|                           CC(=O)N(C)c1ccc(cc1)NC(=O)c2cccc(c2)Cl                           |    ('M+Na', 325.0714234)     |
|                           CC(=O)N(C)c1ccc(cc1)NC(=O)c2cccc(c2)Cl                           | ('M+K', 341.04536340000004)  |
|                           CC(=O)N(C)c1ccc(cc1)NC(=O)c2cccc(c2)Cl                           |    ('M+NH4', 320.1160284)    |
|                           CC(=O)N(C)c1ccc(cc1)NC(=O)c2cccc(c2)Cl                           | ('M-H', 301.07492940000003)  |
|                           CC(=O)N(C)c1ccc(cc1)NC(=O)c2cccc(c2)Cl                           |    ('M+Br', 381.0010904)     |
|                           CC(=O)N(C)c1ccc(cc1)NC(=O)c2cccc(c2)Cl                           |    ('M+Cl', 337.0516074)     |
|                                 CC(=O)N1CCC(=O)Nc2c1cccc2                                  |     ('M', 204.089877624)     |
|                                 CC(=O)N1CCC(=O)Nc2c1cccc2                                  |    ('M+H', 205.097153624)    |
|                                 CC(=O)N1CCC(=O)Nc2c1cccc2                                  |   ('M+Na', 227.079095624)    |
|                                 CC(=O)N1CCC(=O)Nc2c1cccc2                                  |    ('M+K', 243.053035624)    |
|                                 CC(=O)N1CCC(=O)Nc2c1cccc2                                  |   ('M+NH4', 222.123700624)   |
|                                 CC(=O)N1CCC(=O)Nc2c1cccc2                                  |    ('M-H', 203.082601624)    |
|                                 CC(=O)N1CCC(=O)Nc2c1cccc2                                  |   ('M+Br', 283.008762624)    |
|                                 CC(=O)N1CCC(=O)Nc2c1cccc2                                  |   ('M+Cl', 239.059279624)    |
|          CC(=O)N1CCCN(CC1)c2cnc(cn2)C(=O)Nc3cc(ccc3C(=O)Nc4ccc(cn4)Cl)C(=O)O.O.O           |     ('M', 573.173873916)     |
|          CC(=O)N1CCCN(CC1)c2cnc(cn2)C(=O)Nc3cc(ccc3C(=O)Nc4ccc(cn4)Cl)C(=O)O.O.O           |  ('M+H', 574.1811499160001)  |
|          CC(=O)N1CCCN(CC1)c2cnc(cn2)C(=O)Nc3cc(ccc3C(=O)Nc4ccc(cn4)Cl)C(=O)O.O.O           | ('M+Na', 596.1630919160001)  |
|          CC(=O)N1CCCN(CC1)c2cnc(cn2)C(=O)Nc3cc(ccc3C(=O)Nc4ccc(cn4)Cl)C(=O)O.O.O           |  ('M+K', 612.1370319160001)  |
|          CC(=O)N1CCCN(CC1)c2cnc(cn2)C(=O)Nc3cc(ccc3C(=O)Nc4ccc(cn4)Cl)C(=O)O.O.O           |   ('M+NH4', 591.207696916)   |
|          CC(=O)N1CCCN(CC1)c2cnc(cn2)C(=O)Nc3cc(ccc3C(=O)Nc4ccc(cn4)Cl)C(=O)O.O.O           |    ('M-H', 572.166597916)    |
|          CC(=O)N1CCCN(CC1)c2cnc(cn2)C(=O)Nc3cc(ccc3C(=O)Nc4ccc(cn4)Cl)C(=O)O.O.O           | ('M+Br', 652.0927589160001)  |
|          CC(=O)N1CCCN(CC1)c2cnc(cn2)C(=O)Nc3cc(ccc3C(=O)Nc4ccc(cn4)Cl)C(=O)O.O.O           |   ('M+Cl', 608.143275916)    |
| CC(=O)N[C@H](CC(=O)Nc1cc2ccccc2nc1)C(=O)N[C@@H](Cc3ccccc3)[C@@H](Cc4ccccc4C(=O)NC(C)(C)C)O |     ('M', 623.310769412)     |
| CC(=O)N[C@H](CC(=O)Nc1cc2ccccc2nc1)C(=O)N[C@@H](Cc3ccccc3)[C@@H](Cc4ccccc4C(=O)NC(C)(C)C)O |  ('M+H', 624.3180454120001)  |
| CC(=O)N[C@H](CC(=O)Nc1cc2ccccc2nc1)C(=O)N[C@@H](Cc3ccccc3)[C@@H](Cc4ccccc4C(=O)NC(C)(C)C)O | ('M+Na', 646.2999874120001)  |
| CC(=O)N[C@H](CC(=O)Nc1cc2ccccc2nc1)C(=O)N[C@@H](Cc3ccccc3)[C@@H](Cc4ccccc4C(=O)NC(C)(C)C)O |    ('M+K', 662.273927412)    |
| CC(=O)N[C@H](CC(=O)Nc1cc2ccccc2nc1)C(=O)N[C@@H](Cc3ccccc3)[C@@H](Cc4ccccc4C(=O)NC(C)(C)C)O |   ('M+NH4', 641.344592412)   |
| CC(=O)N[C@H](CC(=O)Nc1cc2ccccc2nc1)C(=O)N[C@@H](Cc3ccccc3)[C@@H](Cc4ccccc4C(=O)NC(C)(C)C)O |    ('M-H', 622.303493412)    |
| CC(=O)N[C@H](CC(=O)Nc1cc2ccccc2nc1)C(=O)N[C@@H](Cc3ccccc3)[C@@H](Cc4ccccc4C(=O)NC(C)(C)C)O | ('M+Br', 702.2296544120001)  |
| CC(=O)N[C@H](CC(=O)Nc1cc2ccccc2nc1)C(=O)N[C@@H](Cc3ccccc3)[C@@H](Cc4ccccc4C(=O)NC(C)(C)C)O | ('M+Cl', 658.2801714120001)  |
+--------------------------------------------------------------------------------------------+------------------------------+

Group 2
+--------------------------------------------------------------------------+------------------------------+
|                                  Smile                                   |            Masses            |
+--------------------------------------------------------------------------+------------------------------+
|                     C#CC1(CCCCC1)NS(=O)(=O)c2ccccc2                      |  ('M', 16.031300127999998)   |
|                     C#CC1(CCCCC1)NS(=O)(=O)c2ccccc2                      |    ('M+H', 17.038576128)     |
|                     C#CC1(CCCCC1)NS(=O)(=O)c2ccccc2                      |    ('M+Na', 39.020518128)    |
|                     C#CC1(CCCCC1)NS(=O)(=O)c2ccccc2                      |    ('M+K', 54.994458128)     |
|                     C#CC1(CCCCC1)NS(=O)(=O)c2ccccc2                      |   ('M+NH4', 34.065123128)    |
|                     C#CC1(CCCCC1)NS(=O)(=O)c2ccccc2                      | ('M-H', 15.024024127999995)  |
|                     C#CC1(CCCCC1)NS(=O)(=O)c2ccccc2                      |    ('M+Br', 94.950185128)    |
|                     C#CC1(CCCCC1)NS(=O)(=O)c2ccccc2                      |    ('M+Cl', 51.000702128)    |
|                 C/C(=C/1\C(=O)N(C(=S)N1C)C)/c2ccc(cc2)OC                 |     ('M', 276.093248752)     |
|                 C/C(=C/1\C(=O)N(C(=S)N1C)C)/c2ccc(cc2)OC                 |    ('M+H', 277.100524752)    |
|                 C/C(=C/1\C(=O)N(C(=S)N1C)C)/c2ccc(cc2)OC                 |   ('M+Na', 299.082466752)    |
|                 C/C(=C/1\C(=O)N(C(=S)N1C)C)/c2ccc(cc2)OC                 | ('M+K', 315.05640675200004)  |
|                 C/C(=C/1\C(=O)N(C(=S)N1C)C)/c2ccc(cc2)OC                 |   ('M+NH4', 294.127071752)   |
|                 C/C(=C/1\C(=O)N(C(=S)N1C)C)/c2ccc(cc2)OC                 | ('M-H', 275.08597275200003)  |
|                 C/C(=C/1\C(=O)N(C(=S)N1C)C)/c2ccc(cc2)OC                 |   ('M+Br', 355.012133752)    |
|                 C/C(=C/1\C(=O)N(C(=S)N1C)C)/c2ccc(cc2)OC                 |   ('M+Cl', 311.062650752)    |
|             C/C(=C/c1ccccc1)/CN(CC2CCNCC2)C(=O)c3ccc(cc3)OC              |  ('M', 378.23072819999993)   |
|             C/C(=C/c1ccccc1)/CN(CC2CCNCC2)C(=O)c3ccc(cc3)OC              |  ('M+H', 379.2380041999999)  |
|             C/C(=C/c1ccccc1)/CN(CC2CCNCC2)C(=O)c3ccc(cc3)OC              | ('M+Na', 401.2199461999999)  |
|             C/C(=C/c1ccccc1)/CN(CC2CCNCC2)C(=O)c3ccc(cc3)OC              |     ('M+K', 417.1938862)     |
|             C/C(=C/c1ccccc1)/CN(CC2CCNCC2)C(=O)c3ccc(cc3)OC              | ('M+NH4', 396.2645511999999) |
|             C/C(=C/c1ccccc1)/CN(CC2CCNCC2)C(=O)c3ccc(cc3)OC              |     ('M-H', 377.2234522)     |
|             C/C(=C/c1ccccc1)/CN(CC2CCNCC2)C(=O)c3ccc(cc3)OC              | ('M+Br', 457.1496131999999)  |
|             C/C(=C/c1ccccc1)/CN(CC2CCNCC2)C(=O)c3ccc(cc3)OC              | ('M+Cl', 413.20013019999993) |
|                       C1CC1NC(=S)N2CCC(CC2)C(=O)N                        |     ('M', 227.109233164)     |
|                       C1CC1NC(=S)N2CCC(CC2)C(=O)N                        |    ('M+H', 228.116509164)    |
|                       C1CC1NC(=S)N2CCC(CC2)C(=O)N                        |   ('M+Na', 250.098451164)    |
|                       C1CC1NC(=S)N2CCC(CC2)C(=O)N                        |    ('M+K', 266.072391164)    |
|                       C1CC1NC(=S)N2CCC(CC2)C(=O)N                        |   ('M+NH4', 245.143056164)   |
|                       C1CC1NC(=S)N2CCC(CC2)C(=O)N                        |    ('M-H', 226.101957164)    |
|                       C1CC1NC(=S)N2CCC(CC2)C(=O)N                        |   ('M+Br', 306.028118164)    |
|                       C1CC1NC(=S)N2CCC(CC2)C(=O)N                        |   ('M+Cl', 262.078635164)    |
|          C1CCC(CC1)N2CCN(CC2)C(=O)C3CCN(CC3)c4nnc(s4)N5CCCC5=O           |     ('M', 446.246395328)     |
|          C1CCC(CC1)N2CCN(CC2)C(=O)C3CCN(CC3)c4nnc(s4)N5CCCC5=O           |    ('M+H', 447.253671328)    |
|          C1CCC(CC1)N2CCN(CC2)C(=O)C3CCN(CC3)c4nnc(s4)N5CCCC5=O           |   ('M+Na', 469.235613328)    |
|          C1CCC(CC1)N2CCN(CC2)C(=O)C3CCN(CC3)c4nnc(s4)N5CCCC5=O           |    ('M+K', 485.209553328)    |
|          C1CCC(CC1)N2CCN(CC2)C(=O)C3CCN(CC3)c4nnc(s4)N5CCCC5=O           |   ('M+NH4', 464.280218328)   |
|          C1CCC(CC1)N2CCN(CC2)C(=O)C3CCN(CC3)c4nnc(s4)N5CCCC5=O           |    ('M-H', 445.239119328)    |
|          C1CCC(CC1)N2CCN(CC2)C(=O)C3CCN(CC3)c4nnc(s4)N5CCCC5=O           |   ('M+Br', 525.165280328)    |
|          C1CCC(CC1)N2CCN(CC2)C(=O)C3CCN(CC3)c4nnc(s4)N5CCCC5=O           |   ('M+Cl', 481.215797328)    |
|      C1CCc2c(c3c(s2)nc(nc3SCC(=O)NC45CC6CC(C4)CC(C6)C5)CN7CCOCC7)C1      |     ('M', 512.227968392)     |
|      C1CCc2c(c3c(s2)nc(nc3SCC(=O)NC45CC6CC(C4)CC(C6)C5)CN7CCOCC7)C1      |    ('M+H', 513.235244392)    |
|      C1CCc2c(c3c(s2)nc(nc3SCC(=O)NC45CC6CC(C4)CC(C6)C5)CN7CCOCC7)C1      |   ('M+Na', 535.217186392)    |
|      C1CCc2c(c3c(s2)nc(nc3SCC(=O)NC45CC6CC(C4)CC(C6)C5)CN7CCOCC7)C1      |    ('M+K', 551.191126392)    |
|      C1CCc2c(c3c(s2)nc(nc3SCC(=O)NC45CC6CC(C4)CC(C6)C5)CN7CCOCC7)C1      |   ('M+NH4', 530.261791392)   |
|      C1CCc2c(c3c(s2)nc(nc3SCC(=O)NC45CC6CC(C4)CC(C6)C5)CN7CCOCC7)C1      |    ('M-H', 511.220692392)    |
|      C1CCc2c(c3c(s2)nc(nc3SCC(=O)NC45CC6CC(C4)CC(C6)C5)CN7CCOCC7)C1      |   ('M+Br', 591.146853392)    |
|      C1CCc2c(c3c(s2)nc(nc3SCC(=O)NC45CC6CC(C4)CC(C6)C5)CN7CCOCC7)C1      |   ('M+Cl', 547.197370392)    |
| CC(=O)c1ccc(cc1)NC(=O)Cn2c3ccccc3c(=O)n(c2=O)CC4CCC(CC4)C(=O)NCCc5ccccc5 |   ('M', 580.2685702519999)   |
| CC(=O)c1ccc(cc1)NC(=O)Cn2c3ccccc3c(=O)n(c2=O)CC4CCC(CC4)C(=O)NCCc5ccccc5 |    ('M+H', 581.275846252)    |
| CC(=O)c1ccc(cc1)NC(=O)Cn2c3ccccc3c(=O)n(c2=O)CC4CCC(CC4)C(=O)NCCc5ccccc5 |   ('M+Na', 603.257788252)    |
| CC(=O)c1ccc(cc1)NC(=O)Cn2c3ccccc3c(=O)n(c2=O)CC4CCC(CC4)C(=O)NCCc5ccccc5 |  ('M+K', 619.2317282519999)  |
| CC(=O)c1ccc(cc1)NC(=O)Cn2c3ccccc3c(=O)n(c2=O)CC4CCC(CC4)C(=O)NCCc5ccccc5 | ('M+NH4', 598.3023932519999) |
| CC(=O)c1ccc(cc1)NC(=O)Cn2c3ccccc3c(=O)n(c2=O)CC4CCC(CC4)C(=O)NCCc5ccccc5 |  ('M-H', 579.2612942519999)  |
| CC(=O)c1ccc(cc1)NC(=O)Cn2c3ccccc3c(=O)n(c2=O)CC4CCC(CC4)C(=O)NCCc5ccccc5 |   ('M+Br', 659.187455252)    |
| CC(=O)c1ccc(cc1)NC(=O)Cn2c3ccccc3c(=O)n(c2=O)CC4CCC(CC4)C(=O)NCCc5ccccc5 |   ('M+Cl', 615.237972252)    |
|                  CC(=O)c1ccc(s1)C#CCOC(=O)Nc2ccc(cc2)Cl                  |     ('M', 140.029585876)     |
|                  CC(=O)c1ccc(s1)C#CCOC(=O)Nc2ccc(cc2)Cl                  |    ('M+H', 141.036861876)    |
|                  CC(=O)c1ccc(s1)C#CCOC(=O)Nc2ccc(cc2)Cl                  |   ('M+Na', 163.018803876)    |
|                  CC(=O)c1ccc(s1)C#CCOC(=O)Nc2ccc(cc2)Cl                  |    ('M+K', 178.992743876)    |
|                  CC(=O)c1ccc(s1)C#CCOC(=O)Nc2ccc(cc2)Cl                  |   ('M+NH4', 158.063408876)   |
|                  CC(=O)c1ccc(s1)C#CCOC(=O)Nc2ccc(cc2)Cl                  |    ('M-H', 139.022309876)    |
|                  CC(=O)c1ccc(s1)C#CCOC(=O)Nc2ccc(cc2)Cl                  |   ('M+Br', 218.948470876)    |
|                  CC(=O)c1ccc(s1)C#CCOC(=O)Nc2ccc(cc2)Cl                  |   ('M+Cl', 174.998987876)    |
+--------------------------------------------------------------------------+------------------------------+

Group 3
+-------------------------------------------------------------------------+------------------------------+
|                                  Smile                                  |            Masses            |
+-------------------------------------------------------------------------+------------------------------+
|                      C#CC1(CCCCC1)OC(=O)Nc2ccccc2                       |  ('M', 16.031300127999998)   |
|                      C#CC1(CCCCC1)OC(=O)Nc2ccccc2                       |    ('M+H', 17.038576128)     |
|                      C#CC1(CCCCC1)OC(=O)Nc2ccccc2                       |    ('M+Na', 39.020518128)    |
|                      C#CC1(CCCCC1)OC(=O)Nc2ccccc2                       |    ('M+K', 54.994458128)     |
|                      C#CC1(CCCCC1)OC(=O)Nc2ccccc2                       |   ('M+NH4', 34.065123128)    |
|                      C#CC1(CCCCC1)OC(=O)Nc2ccccc2                       | ('M-H', 15.024024127999995)  |
|                      C#CC1(CCCCC1)OC(=O)Nc2ccccc2                       |    ('M+Br', 94.950185128)    |
|                      C#CC1(CCCCC1)OC(=O)Nc2ccccc2                       |    ('M+Cl', 51.000702128)    |
|               C/C(=C/c1ccccc1)/CN(CC2CCNCC2)C(=O)c3cccs3                |     ('M', 354.176584452)     |
|               C/C(=C/c1ccccc1)/CN(CC2CCNCC2)C(=O)c3cccs3                |    ('M+H', 355.183860452)    |
|               C/C(=C/c1ccccc1)/CN(CC2CCNCC2)C(=O)c3cccs3                |   ('M+Na', 377.165802452)    |
|               C/C(=C/c1ccccc1)/CN(CC2CCNCC2)C(=O)c3cccs3                |    ('M+K', 393.139742452)    |
|               C/C(=C/c1ccccc1)/CN(CC2CCNCC2)C(=O)c3cccs3                |   ('M+NH4', 372.210407452)   |
